UUID,NAME,DESCRIPTION,STATUS
9351fe9a-f696-4dc0-b5a7-31b82a09aed9,item98,description98,AVAILABLE
c1e2afeb-d3cf-4f0d-8d7e-2f220149a711,item1B,description1B,AVAILABLE
dc279b8c-36b9-45f9-8965-5410ca13536d,item3B,description3B,AVAILABLE
c83dcd95-43a3-4236-9b2b-eb8a8d2d548d,item97,description97,AVAILABLE
e1957e03-d329-44aa-9a60-e6a4c622a57d,item2A,description2A,AVAILABLE
11badee7-203b-407e-a5d3-36e961cb432d,item4A,description4A,AVAILABLE
1007c400-bb38-43cd-b4bd-487c77e92548,item96,description96,AVAILABLE
252e3379-db36-4f13-b39f-4a15cd05e919,item2B,description2B,AVAILABLE
6e6f7bf3-002a-433f-aac8-38bd4012d820,item95,description95,AVAILABLE
a0460c74-970e-4ada-bb8d-d4130e17bf74,item4B,description4B,AVAILABLE
c0c01452-7867-4680-b86b-6cfd4c0de684,item94,description94,AVAILABLE
8704126a-de8e-4582-8024-32a2c582a460,item3A,description3A,AVAILABLE
31b4fa78-24f9-40e2-a2db-92d37416a6c1,item99,description99,UNAVAILABLE
92434060-7d85-4906-b837-9f8731cf718c,item1A,description1A,UNAVAILABLE
